,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident
5690,18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle
8041,Unknown,Female,High school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No priority to pedestrian
5910,Unknown,Male,Writing & reading,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Unknown or other,Overtaking
919,18-30,Male,Junior high school,Owner,Below 1yr,Double carriageway (median),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian
7744,18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing
3297,Unknown,Male,High school,Employee,2-5yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Moving Backward
11427,31-50,Male,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No priority to pedestrian
2737,31-50,Male,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left
2173,18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle
1510,Under 18,Unknown,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Turnover,Not a Pedestrian,Moving Backward
3588,Under 18,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Unknown,Going straight,Not a Pedestrian,No distancing
786,Over 51,Male,Junior high school,Employee,No Licence,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly
10407,Over 51,Male,Above high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Rollover,Other,Not a Pedestrian,Overtaking
1729,Unknown,Male,High school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No distancing
11933,Over 51,Male,Junior high school,Employee,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
7003,Unknown,Male,Elementary school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing
7394,18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
1620,31-50,Male,Junior high school,Owner,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing
11333,Over 51,Female,Writing & reading,Owner,5-10yr,Two-way (divided with solid lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,No priority to vehicle
3898,31-50,Male,Junior high school,Employee,No Licence,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly
7087,Unknown,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Moving Backward
973,31-50,Male,High school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
6334,31-50,Male,Above high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing
269,18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
10644,31-50,Male,Illiterate,Employee,unknown,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing
3640,Unknown,Male,Writing & reading,Owner,5-10yr,Undivided Two way,Y Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
5947,Under 18,Male,High school,Employee,Below 1yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
11837,31-50,Male,High school,Owner,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Overtaking
2975,31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Overspeed
2646,Unknown,Female,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to vehicle
10921,Over 51,Male,Unknown,Other,Unknown,other,Unknown,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
4351,Unknown,Male,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly
1503,31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving under the influence of drugs
3755,31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Overtaking,Not a Pedestrian,No distancing
2714,31-50,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle
4973,18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Unknown,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to vehicle
10433,18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
11346,Over 51,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Overtaking,Not a Pedestrian,No distancing
11258,18-30,Female,High school,Owner,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly
5610,Over 51,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right
5924,31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
9948,Unknown,Female,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,Unknown or other,No priority to vehicle
8972,Unknown,Female,High school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Changing lane to the left
11091,31-50,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Unknown,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
11571,31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Collision with roadside objects,Other,Not a Pedestrian,Changing lane to the left
2289,31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Unknown,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left
1744,31-50,Male,Elementary school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Reversing,Not a Pedestrian,No priority to vehicle
2845,31-50,Male,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Getting off,Not a Pedestrian,No priority to vehicle
9663,31-50,Male,Junior high school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
2944,31-50,Male,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
3806,31-50,Male,Elementary school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
2650,31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving at high speed
7606,18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overspeed
125,31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
693,31-50,Unknown,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing
8376,Over 51,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - no lighting,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
5282,31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,U-Turn,Not a Pedestrian,No priority to pedestrian
9795,31-50,Male,Writing & reading,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing
4405,18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Entering a junction,Not a Pedestrian,Getting off the vehicle improperly
5046,31-50,Male,Above high school,Owner,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly
2099,Unknown,Female,Elementary school,Other,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Unknown,Moving Backward,Not a Pedestrian,Changing lane to the right
885,Unknown,Female,Writing & reading,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other
4882,18-30,Male,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
8446,Unknown,Female,Above high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly
10010,Over 51,Male,Elementary school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly
5211,Unknown,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
12298,18-30,Male,Junior high school,Employee,Above 10yr,other,Y Shape,Gravel roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
4812,18-30,Male,Unknown,Owner,Unknown,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
7947,Unknown,Female,Elementary school,Owner,Above 10yr,Two-way (divided with solid lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
4596,Unknown,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Gravel roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
12033,18-30,Male,Junior high school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
7436,31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
